Comic Book,Copies
Detective Comics #1000,559200
Action Comics #1000,504243
Dark Knight III Master Race #1,449100
Batman #50,412541
Harley Quinn #1,366,100
Justice League of America #1,326300
DC Universe Rebirth,305700
Star Wars #1,1073000
Amazing Spider-Man #1,559200
Secret Wars #1,550500
Amazing Spider-Man #583,530500
Amazing Spider-Man #800,439465
Star Wars Vader Down,410600
Civil War II,391500
Walking Dead (including Chronium ed) #100,384800
Walking Dead #115,329300
Walking Dead #132,326300
Spawn #300,275700
Spawn #301,190800
Magic Order #1,158425
Walking Dead #150,156200
